Store ID,Employees,Store Size,Country,City,State,Postal Code,Region
FUR-BO-10001798,57,Large,United States,Henderson,Kentucky,42420,South
FUR-CH-10000454,44,Medium,United States,Los Angeles,California,90036,West
OFF-LA-10000240,54,Large,United States,Fort Lauderdale,Florida,33311,South
FUR-TA-10000577,39,Medium,United States,Los Angeles,California,90032,West
OFF-ST-10000760,47,Medium,United States,Concord,North Carolina,28027,South
FUR-FU-10001487,51,Medium,United States,Seattle,Washington,98103,West
OFF-AR-10002833,28,Medium,United States,Fort Worth,Texas,76106,Central
TEC-PH-10002275,20,Small,United States,Madison,Wisconsin,53711,Central
OFF-BI-10003910,28,Medium,United States,West Jordan,Utah,84084,West
OFF-AP-10002892,45,Small,United States,San Francisco,California,94109,West
FUR-TA-10001539,26,Small,United States,Fremont,Nebraska,68025,Central
TEC-PH-10002033,70,Large,United States,Philadelphia,Pennsylvania,19140,East
OFF-PA-10002365,65,Medium,United States,Orem,Utah,84057,West
OFF-BI-10003656,66,Large,United States,Los Angeles,California,90049,West
OFF-AP-10002311,51,Large,United States,Philadelphia,Pennsylvania,19140,East
OFF-BI-10000756,25,Small,United States,Houston,Texas,77095,Central
OFF-ST-10004186,67,Large,United States,Richardson,Texas,75080,Central
OFF-ST-10000107,61,Large,United States,Houston,Texas,77041,Central
OFF-AR-10003056,59,Large,United States,Naperville,Illinois,60540,Central
TEC-PH-10001949,54,Medium,United States,Los Angeles,California,90049,West
OFF-BI-10002215,23,Small,United States,Melbourne,Florida,32935,South
OFF-AR-10000246,58,Medium,United States,Eagan,Minnesota,55122,Central
OFF-AP-10001492,57,Medium,United States,Westland,Michigan,48185,Central
FUR-CH-10002774,43,Large,United States,Dover,Delaware,19901,East
OFF-BI-10001634,23,Small,United States,New Albany,Indiana,47150,Central
TEC-AC-10003027,62,Large,United States,New York City,New York,10024,East
FUR-BO-10004834,45,Small,United States,Troy,New York,12180,East
OFF-BI-10000474,49,Medium,United States,Los Angeles,California,90004,West
FUR-FU-10004848,30,Medium,United States,Chicago,Illinois,60610,Central
OFF-EN-10001509,46,Large,United States,Gilbert,Arizona,85234,West
OFF-AR-10004042,65,Large,United States,Springfield,Virginia,22153,South
OFF-BI-10001525,43,Medium,United States,New York City,New York,10009,East
OFF-AR-10001683,64,Large,United States,Memphis,Tennessee,38109,South
OFF-PA-10000249,66,Medium,United States,Houston,Texas,77041,Central
TEC-PH-10004977,22,Small,United States,Decatur,Alabama,35601,South
FUR-FU-10003664,42,Medium,United States,San Francisco,California,94122,West
OFF-EN-10002986,42,Small,United States,Durham,North Carolina,27707,South
FUR-BO-10002545,56,Large,United States,Chicago,Illinois,60623,Central
FUR-CH-10004218,67,Large,United States,Rochester,Minnesota,55901,Central
TEC-PH-10000486,47,Medium,United States,Houston,Texas,77095,Central
TEC-PH-10004093,53,Large,United States,Los Angeles,California,90036,West
OFF-ST-10003479,65,Large,United States,Minneapolis,Minnesota,55407,Central
OFF-ST-10003282,59,Large,United States,Portland,Oregon,97206,West
TEC-AC-10000171,20,Medium,United States,New York City,New York,10009,East
OFF-BI-10003291,61,Large,United States,San Francisco,California,94122,West
OFF-ST-10001713,27,Small,United States,Saint Paul,Minnesota,55106,Central
TEC-AC-10002167,66,Large,United States,Chicago,Illinois,60610,Central
TEC-PH-10003988,54,Large,United States,Rochester,Minnesota,55901,Central
OFF-BI-10004410,29,Small,United States,Aurora,Colorado,80013,West
OFF-LA-10002762,62,Medium,United States,Charlotte,North Carolina,28205,South
FUR-FU-10001706,34,Medium,United States,Orland Park,Illinois,60462,Central
FUR-CH-10003061,37,Large,United States,New York City,New York,10035,East
OFF-FA-10000304,68,Large,United States,Urbandale,Iowa,50322,Central
TEC-PH-10002447,31,Medium,United States,Columbus,Ohio,43229,East
OFF-ST-10000604,23,Small,United States,Seattle,Washington,98103,West
OFF-PA-10001569,54,Medium,United States,Bristol,Tennessee,37620,South
FUR-CH-10003968,31,Medium,United States,Wilmington,Delaware,19805,East
OFF-PA-10000587,31,Medium,United States,Houston,Texas,77041,Central
OFF-BI-10001460,61,Large,United States,Bloomington,Illinois,61701,Central
OFF-AR-10001868,32,Medium,United States,Phoenix,Arizona,85023,West
TEC-AC-10004633,66,Large,United States,Los Angeles,California,90004,West
OFF-BI-10001078,35,Medium,United States,Columbus,Ohio,43229,East
OFF-PA-10003892,64,Large,United States,Roseville,California,95661,West
FUR-FU-10000397,67,Medium,United States,Philadelphia,Pennsylvania,19140,East
FUR-CH-10001146,54,Large,United States,San Francisco,California,94122,West
OFF-AR-10002671,66,Large,United States,Independence,Missouri,64055,Central
TEC-PH-10002726,29,Medium,United States,Pasadena,California,91104,West
OFF-PA-10000482,26,Medium,United States,Newark,Ohio,43055,East
OFF-BI-10004654,46,Large,United States,Franklin,Wisconsin,53132,Central
OFF-PA-10004675,56,Large,United States,Scottsdale,Arizona,85254,West
FUR-CH-10000513,44,Medium,United States,San Jose,California,95123,West
FUR-FU-10003708,53,Small,United States,Seattle,Washington,98105,West
OFF-ST-10004123,26,Medium,United States,Seattle,Washington,98115,West
OFF-BI-10004182,60,Medium,United States,Edmond,Oklahoma,73034,Central
FUR-FU-10000260,68,Medium,United States,Los Angeles,California,90045,West
OFF-ST-10000615,42,Small,United States,Philadelphia,Pennsylvania,19134,East
FUR-FU-10003194,56,Medium,United States,Carlsbad,New Mexico,88220,West
OFF-AP-10002118,35,Small,United States,Seattle,Washington,98115,West
OFF-BI-10002309,52,Large,United States,San Antonio,Texas,78207,Central
OFF-AR-10002053,44,Small,United States,Los Angeles,California,90004,West
OFF-ST-10002370,22,Medium,United States,Chicago,Illinois,60623,Central
OFF-EN-10000927,25,Small,United States,Houston,Texas,77036,Central
OFF-ST-10003656,50,Medium,United States,New York City,New York,10009,East
FUR-CH-10000863,38,Medium,United States,Decatur,Illinois,62521,Central
TEC-AC-10001998,61,Medium,United States,Monroe,Louisiana,71203,South
OFF-LA-10000134,59,Medium,United States,Fairfield,Connecticut,6824,East
OFF-ST-10003442,43,Small,United States,Los Angeles,California,90032,West
OFF-AR-10004930,25,Medium,United States,Grand Prairie,Texas,75051,Central
OFF-PA-10000304,58,Medium,United States,New York City,New York,10035,East
OFF-PA-10003177,26,Small,United States,Redlands,California,92374,West
FUR-FU-10003799,66,Medium,United States,Hamilton,Ohio,45011,East
OFF-BI-10002852,28,Medium,United States,Westfield,New Jersey,7090,East
OFF-BI-10004738,31,Medium,United States,Philadelphia,Pennsylvania,19120,East
FUR-FU-10000629,43,Large,United States,Akron,Ohio,44312,East
OFF-BI-10001721,46,Medium,United States,Denver,Colorado,80219,West
OFF-AP-10000358,50,Large,United States,Dallas,Texas,75220,Central
OFF-PA-10003256,22,Small,United States,Franklin,Tennessee,37064,South
TEC-AC-10001767,21,Small,United States,Whittier,California,90604,West
OFF-BI-10002609,69,Medium,United States,Saginaw,Michigan,48601,Central
OFF-PA-10004040,24,Medium,United States,Dallas,Texas,75220,Central
TEC-AC-10001552,35,Medium,United States,Medina,Ohio,44256,East
FUR-FU-10004006,46,Small,United States,Los Angeles,California,90032,West
OFF-BI-10002794,40,Small,United States,Dublin,Ohio,43017,East
TEC-AC-10003499,24,Small,United States,Detroit,Michigan,48227,Central
TEC-PH-10002844,44,Small,United States,Columbia,Tennessee,38401,South
OFF-AR-10000390,63,Large,United States,Charlotte,North Carolina,28205,South
TEC-AC-10000844,30,Small,United States,Santa Clara,California,95051,West
FUR-FU-10001934,38,Medium,United States,Chicago,Illinois,60610,Central
OFF-AR-10000380,44,Small,United States,Lakeville,Minnesota,55044,Central
OFF-BI-10003981,40,Medium,United States,San Francisco,California,94109,West
OFF-FA-10000621,67,Medium,United States,San Diego,California,92037,West
OFF-EN-10002600,69,Medium,United States,New York City,New York,10024,East
OFF-PA-10004965,48,Large,United States,Chicago,Illinois,60623,Central
OFF-EN-10002504,35,Small,United States,New York City,New York,10009,East
FUR-TA-10001768,31,Small,United States,Pasadena,Texas,77506,Central
OFF-BI-10003650,63,Medium,United States,Houston,Texas,77036,Central
FUR-FU-10002157,59,Large,United States,Chicago,Illinois,60610,Central
OFF-ST-10000777,53,Small,United States,Brentwood,California,94513,West
OFF-EN-10002500,66,Large,United States,Chapel Hill,North Carolina,27514,South
TEC-PH-10003875,57,Large,United States,Cincinnati,Ohio,45231,East
FUR-CH-10004063,21,Medium,United States,San Francisco,California,94110,West
FUR-TA-10004534,25,Small,United States,Inglewood,California,90301,West
OFF-BI-10003274,51,Medium,United States,Philadelphia,Pennsylvania,19140,East
OFF-ST-10002974,24,Medium,United States,Los Angeles,California,90004,West
FUR-FU-10003773,39,Medium,United States,Tamarac,Florida,33319,South
TEC-PH-10002293,32,Small,United States,Columbus,Ohio,43229,East
OFF-PA-10002377,28,Small,United States,Colorado Springs,Colorado,80906,West
OFF-FA-10002780,53,Large,United States,New York City,New York,10024,East
OFF-PA-10001804,58,Medium,United States,Lakewood,New Jersey,8701,East
OFF-PA-10001736,23,Small,United States,Arlington,Virginia,22204,South
OFF-AR-10001149,69,Medium,United States,Arvada,Colorado,80004,West
OFF-FA-10002988,39,Small,United States,Hackensack,New Jersey,7601,East
OFF-BI-10004781,30,Small,United States,Saint Petersburg,Florida,33710,South
OFF-SU-10001218,32,Medium,United States,Philadelphia,Pennsylvania,19143,East
OFF-AR-10000940,36,Small,United States,New York City,New York,10024,East
OFF-EN-10004030,46,Small,United States,Long Beach,California,90805,West
OFF-PA-10004327,66,Large,United States,Hesperia,California,92345,West
OFF-AP-10001058,56,Medium,United States,Murfreesboro,Tennessee,37130,South
FUR-FU-10000521,56,Large,United States,Philadelphia,Pennsylvania,19143,East
TEC-PH-10000215,61,Medium,United States,Philadelphia,Pennsylvania,19134,East
TEC-PH-10001448,53,Medium,United States,Los Angeles,California,90045,West
OFF-BI-10002735,61,Large,United States,San Francisco,California,94122,West
OFF-AP-10000326,57,Large,United States,San Francisco,California,94122,West
TEC-PH-10001254,66,Large,United States,Lowell,Massachusetts,1852,East
OFF-PA-10001950,38,Small,United States,New York City,New York,10009,East
OFF-PA-10002254,32,Medium,United States,New York City,New York,10035,East
OFF-ST-10001590,48,Large,United States,Columbus,Georgia,31907,South
OFF-AR-10001547,48,Large,United States,New York City,New York,10009,East
OFF-LA-10002475,57,Medium,United States,San Francisco,California,94109,West
TEC-PH-10004536,34,Medium,United States,Manchester,Connecticut,6040,East
OFF-PA-10002751,29,Medium,United States,Harlingen,Texas,78550,Central
TEC-AC-10003657,40,Small,United States,Tucson,Arizona,85705,West
OFF-EN-10001990,22,Medium,United States,Quincy,Illinois,62301,Central
OFF-BI-10004002,35,Medium,United States,Franklin,Massachusetts,2038,East
OFF-AR-10004441,21,Small,United States,Houston,Texas,77095,Central
TEC-MA-10000822,57,Large,United States,San Francisco,California,94109,West
OFF-ST-10000991,70,Large,United States,Taylor,Michigan,48180,Central
FUR-CH-10004287,35,Small,United States,Pembroke Pines,Florida,33024,South
OFF-AR-10002656,55,Large,United States,Philadelphia,Pennsylvania,19140,East
OFF-AP-10002518,64,Large,United States,Cincinnati,Ohio,45231,East
TEC-PH-10003931,62,Medium,United States,New York City,New York,10009,East
OFF-PA-10000659,20,Small,United States,Des Moines,Washington,98198,West
OFF-PA-10001144,23,Small,United States,Peoria,Illinois,61604,Central
FUR-CH-10003817,32,Medium,United States,Las Vegas,Nevada,89115,West
OFF-AP-10000891,24,Small,United States,Warwick,Rhode Island,2886,East
OFF-LA-10003148,47,Large,United States,Houston,Texas,77036,Central
OFF-AP-10002684,63,Large,United States,Miami,Florida,33180,South
FUR-CH-10004698,28,Medium,United States,New York City,New York,10024,East
OFF-SU-10002189,70,Large,United States,San Francisco,California,94110,West
OFF-AR-10001940,68,Large,United States,Seattle,Washington,98105,West
OFF-ST-10003455,47,Large,United States,Huntington Beach,California,92646,West
TEC-AC-10004659,48,Medium,United States,Los Angeles,California,90004,West
TEC-PH-10003273,27,Small,United States,Lawrence,Massachusetts,1841,East
TEC-PH-10004896,52,Medium,United States,Jackson,Mississippi,39212,South
TEC-AC-10002345,51,Large,United States,New Rochelle,New York,10801,East
OFF-BI-10001890,45,Medium,United States,San Antonio,Texas,78207,Central
TEC-AC-10002323,26,Small,United States,Gastonia,North Carolina,28052,South
OFF-ST-10001328,22,Small,United States,Jacksonville,Florida,32216,South
FUR-BO-10002613,58,Large,United States,Chicago,Illinois,60623,Central
TEC-PH-10001552,52,Large,United States,Houston,Texas,77070,Central
OFF-PA-10000061,66,Large,United States,Columbus,Indiana,47201,Central
OFF-AR-10003514,41,Medium,United States,Auburn,New York,13021,East
OFF-AR-10004685,38,Medium,United States,Akron,Ohio,44312,East
OFF-AR-10004027,57,Large,United States,Concord,California,94521,West
OFF-ST-10001414,65,Medium,United States,Phoenix,Arizona,85023,West
OFF-BI-10000343,54,Large,United States,Park Ridge,Illinois,60068,Central
OFF-PA-10002749,57,Large,United States,Lindenhurst,New York,11757,East
OFF-PA-10002666,24,Medium,United States,San Francisco,California,94110,West
FUR-TA-10004289,32,Medium,United States,Troy,New York,12180,East
OFF-AP-10003622,58,Medium,United States,New York City,New York,10024,East
OFF-AP-10003217,42,Medium,United States,San Diego,California,92024,West
FUR-FU-10002960,54,Large,United States,New York City,New York,10024,East
TEC-PH-10001918,31,Small,United States,Los Angeles,California,90045,West
OFF-ST-10000642,21,Small,United States,Chicago,Illinois,60610,Central
TEC-PH-10001700,22,Small,United States,Huntsville,Texas,77340,Central
OFF-FA-10000134,68,Large,United States,Rochester,New York,14609,East
OFF-ST-10001522,63,Large,United States,Seattle,Washington,98115,West
TEC-AC-10001266,61,Large,United States,Memphis,Tennessee,38109,South
OFF-LA-10004544,24,Small,United States,Fayetteville,Arkansas,72701,South
FUR-BO-10004695,51,Small,United States,Parker,Colorado,80134,West
TEC-MA-10000864,61,Medium,United States,Atlanta,Georgia,30318,South
TEC-AC-10000109,32,Small,United States,Gladstone,Missouri,64118,Central
TEC-PH-10002563,27,Small,United States,Los Angeles,California,90049,West
OFF-FA-10000585,64,Large,United States,Houston,Texas,77041,Central
OFF-PA-10004000,47,Large,United States,Detroit,Michigan,48234,Central
FUR-FU-10000087,64,Large,United States,Lawrence,Massachusetts,1841,East
TEC-MA-10001148,21,Small,United States,Lakeland,Florida,33801,South
OFF-AR-10001958,52,Large,United States,Philadelphia,Pennsylvania,19134,East
OFF-AR-10001026,60,Medium,United States,Los Angeles,California,90036,West
FUR-TA-10003748,34,Small,United States,Los Angeles,California,90032,West
OFF-ST-10002485,24,Small,United States,Montgomery,Alabama,36116,South
FUR-CH-10004860,49,Medium,United States,Mesa,Arizona,85204,West
FUR-CH-10004477,67,Large,United States,Chicago,Illinois,60653,Central
OFF-BI-10001679,47,Medium,United States,Henderson,Kentucky,42420,South
FUR-TA-10001705,40,Medium,United States,Green Bay,Wisconsin,54302,Central
FUR-TA-10003473,56,Large,United States,Springfield,Ohio,45503,East
FUR-FU-10004017,68,Medium,United States,New York City,New York,10035,East
TEC-AC-10003832,37,Small,United States,San Francisco,California,94110,West
OFF-PA-10002479,50,Medium,United States,Houston,Texas,77070,Central
OFF-PA-10003349,22,Medium,United States,Wilmington,North Carolina,28403,South
FUR-FU-10000576,39,Medium,United States,Los Angeles,California,90045,West
FUR-FU-10004351,26,Small,United States,San Francisco,California,94110,West
TEC-PH-10000011,33,Medium,United States,Tampa,Florida,33614,South
FUR-TA-10002607,54,Large,United States,Seattle,Washington,98105,West
FUR-FU-10002505,29,Small,United States,Los Angeles,California,90008,West
OFF-ST-10002276,60,Large,United States,Seattle,Washington,98105,West
OFF-PA-10004082,65,Medium,United States,New York City,New York,10024,East
OFF-AP-10002945,47,Large,United States,Marysville,Washington,98270,West
FUR-CH-10002965,26,Medium,United States,Long Beach,California,90805,West
OFF-PA-10004569,52,Large,United States,Chicago,Illinois,60610,Central
OFF-ST-10001228,24,Medium,United States,Los Angeles,California,90004,West
OFF-EN-10003296,64,Medium,United States,Denver,Colorado,80219,West
OFF-ST-10004804,34,Small,United States,Richmond,Kentucky,40475,South
